Name,Category,Parent_Type,Sort_Order,Active
Send SMS reminder,Regarding,To-Do,130,TRUE
2nd Followup,Regarding,Call,10,TRUE
3rd Followup,Regarding,Call,20,TRUE
4th Followup,Regarding,Call,30,TRUE
5th Followup,Regarding,Call,40,TRUE
Cold call,Regarding,Call,50,TRUE
Confirm appointment,Regarding,Call,60,TRUE
Discuss legal points,Regarding,Call,70,TRUE
Follow up,Regarding,Call,80,TRUE
New Client,Regarding,Call,90,TRUE
Nomination and Visa Lodgement,Regarding,Call,100,TRUE
Payment Made?,Regarding,Call,110,TRUE
Returning call,Regarding,Call,120,TRUE
Schedule a meeting,Regarding,Call,130,TRUE
Appointment,Regarding,Appointment,10,TRUE
Call,Regarding,Appointment,20,TRUE
Dentist Appointment,Regarding,Appointment,30,TRUE
Doctor Appointment,Regarding,Appointment,40,TRUE
Eye Doctor Appointment,Regarding,Appointment,50,TRUE
Make Appointment,Regarding,Appointment,60,TRUE
Meeting,Regarding,Appointment,70,TRUE
Parent-Teacher Conference,Regarding,Appointment,80,TRUE
Shopping,Regarding,Appointment,90,TRUE
Time Off,Regarding,Appointment,100,TRUE
Workout,Regarding,Appointment,110,TRUE
10,Duration,,10,TRUE
20,Duration,,20,TRUE
30,Duration,,30,TRUE
40,Duration,,40,TRUE
50,Duration,,50,TRUE
60,Duration,,60,TRUE
70,Duration,,70,TRUE
80,Duration,,80,TRUE
90,Duration,,90,TRUE
100,Duration,,100,TRUE
110,Duration,,110,TRUE
120,Duration,,120,TRUE
130,Duration,,130,TRUE
140,Duration,,140,TRUE
150,Duration,,150,TRUE
160,Duration,,160,TRUE
170,Duration,,170,TRUE
180,Duration,,180,TRUE
190,Duration,,190,TRUE
200,Duration,,200,TRUE
210,Duration,,210,TRUE
220,Duration,,220,TRUE
230,Duration,,230,TRUE
240,Duration,,240,TRUE
